Qin,Qsolar,tin,tout
200,1451.285217,20.12622441,15.825
200,1698.543871,20.53565266,16.1
200,1947.072995,21.38710373,16.25
200,2222.161726,22.21177827,16.4
200,2314.329064,23.06111601,16.55
200,2381.783887,23.92030119,16.7
200,2461.758362,24.76265746,16.825
200,2530.613725,25.58657979,16.95
200,2590.737426,26.40110455,17.075
200,2634.73642,27.19914576,17.2
200,2660.532765,27.97579069,17.35
200,2666.15817,28.72594331,17.5
200,2625.236815,29.43858962,17.65
200,2564.881925,30.10584519,17.8
200,2486.014629,30.71215931,17.75
200,2390.04791,31.03547077,17.7
200,2265.956304,31.70301043,17.65
200,2130.102684,32.12174812,17.6
200,1985.864201,32.43040192,17.55
200,1837.198592,32.67581686,17.5
200,1673.82473,32.85780002,17.45
200,1517.369056,32.95972497,17.4
200,1372.475719,32.98736168,17.35
200,1243.202918,32.95581304,17.3
200,1115.798887,32.87337182,17.25
200,1009.091222,32.74607778,17.2
200,919.6918926,32.57895291,17.075
200,867.3697212,32.38712594,16.95
200,801.6467797,32.17669052,16.825
200,704.4610904,31.93812908,16.7
200,637.3399711,31.66876659,16.55
200,571.0507848,31.37369159,16.4
200,493.4943715,31.1604153,16.25
200,418.8268484,30.72422752,16.1
200,347.8007383,30.34312414,15.975
200,267.4546652,29.94554413,15.85
200,207.1130184,29.5187435,15.725
200,148.8395307,29.07588507,15.6
200,87.57934308,28.61370691,15.4
200,0,28.12345896,15.2
200,0,27.62335469,15
200,0,27.13409121,14.8
200,0,26.66024443,14.625
200,0,26.20068723,14.45
200,0,25.75385261,14.275
200,0,25.31894824,14.1
200,0,24.89362058,13.9
200,0,24.47695687,13.7
200,0,24.06934624,13.5
200,0,23.67038752,13.3
200,0,23.29071533,13.25
200,0,22.93198198,13.2
200,0,22.5874946,13.15
200,0,22.25622645,13.1
200,0,21.93967968,13.075
200,0,21.63753566,13.05
200,0,21.34793026,13.025
200,0,21.06660362,13
200,0,20.79870995,12.95
200,0,20.54493536,12.9
200,0,20.30307285,12.85
200,0,20.07122982,12.8
200,0,19.84725157,12.75
200,0,19.63020517,12.7
200,0,19.41984645,12.65
200,0,19.21598055,12.6
200,0,19.01821678,12.55
200,0,18.82620912,12.5
200,0,18.63971538,12.45
200,0,18.45854636,12.4
200,0,18.28246855,12.35
200,0,18.11125915,12.3
200,0,17.94471618,12.25
200,0,17.78265301,12.2
200,0,17.63832064,12.35
200,0,17.51385957,12.5
200,0,17.4048713,12.65
200,0,17.30776663,12.8
200,50.09992871,17.22824242,12.925
200,68.19299253,17.16567389,13.05
200,105.479745,17.12047618,13.175
200,142.8500183,17.09384278,13.3
200,180.325346,17.08864603,13.45
200,217.9810474,17.10544842,13.6
200,351.9215977,17.1597154,13.75
200,489.6522629,17.27115578,13.9
200,615.333379,17.45346415,14.125
200,739.5937606,17.7054215,14.35
200,780.828226,18.0038865,14.575
200,828.3092597,18.1939597,14.8
200,869.6565172,18.63566047,15.05
200,974.5285935,19.04654022,15.3
200,1032.338299,19.47755597,15.55
200,1111.190498,19.94431842,15.8
200,1213.28834,20.44327472,16.025
200,1353.123961,20.98193479,16.25
200,1467.778804,21.56291133,16.475
200,1592.025593,21.95105675,16.7
200,1700.520759,22.73576794,16.875
200,1828.904542,23.41776401,17.05
200,1946.530863,24.08607597,17.225
200,2045.892549,24.77151922,17.4
200,2125.248331,25.4627636,17.6
200,2246.624513,26.16489408,17.8
200,2281.91664,26.86952829,18
200,2364.921925,27.57146939,18.2
200,2429.847468,28.27364593,18.375
200,2473.736689,28.97012048,18.55
200,2440.404998,29.64098533,18.725
200,2385.789843,30.27086867,18.9
200,2310.544,30.60691852,18.85
200,2215.905361,31.31750685,18.8
200,2082.06256,31.77671448,18.75
200,1936.42179,32.11695352,18.7
200,1782.913742,32.38923702,18.65
200,1626.090883,32.59838308,18.6
200,1471.053107,32.72820027,18.55
200,1321.731804,32.78229229,18.5
200,1183.742642,32.7738025,18.45
200,1062.277849,32.7139677,18.4
200,949.6332369,32.60862335,18.35
200,834.7659426,32.45944903,18.3
200,761.6011787,32.26731405,18.075
200,715.1574335,32.04977571,17.85
200,661.564121,31.81605444,17.625
200,607.8154063,31.56551846,17.4
200,554.0851359,31.29592294,17.175
200,500.5305599,31.00687905,16.95
200,412.9995651,30.79661855,16.725
200,355.2339346,30.36618562,16.5
200,300.9119964,29.99358738,16.275
200,249.7545119,29.61326672,16.05
200,191.9056393,29.20754351,15.825
200,139.2787166,28.78174336,15.6
200,81.98690163,28.33932614,15.45
200,0,27.87220526,15.3
200,0,27.39263166,15.15
200,0,26.92247231,15
200,0,26.469189,14.875
200,0,26.03213342,14.75
200,0,25.60929052,14.625
200,0,25.19966078,14.5
200,0,24.80079121,14.35
200,0,24.41169478,14.2
200,0,24.03290231,14.05
200,0,23.66397858,13.9
200,0,23.3044434,13.75
200,0,22.95373736,13.6
200,0,22.61112628,13.45
200,0,22.27607699,13.3
200,0,21.94986898,13.175
200,0,21.63245755,13.05
200,0,21.32250369,12.925
200,0,21.01953767,12.8
200,0,20.72275235,12.65
200,0,20.42632224,12.5
200,0,20.13634677,12.35
200,0,19.85439629,12.2
200,0,19.59478146,12.3
200,0,19.35737374,12.4
200,0,19.13575022,12.5
200,0,18.92569438,12.6
200,0,18.7245401,12.675
200,0,18.53227254,12.75
200,0,18.34955642,12.825
200,0,18.17672993,12.9
200,0,18.01497292,13
200,0,17.86321723,13.1
200,0,17.72043594,13.2
200,0,17.58571428,13.3
200,0,17.45838401,13.4
200,0,17.33918268,13.5
200,0,17.22955883,13.6
200,0,17.13046003,13.7
200,80.08692126,17.05757582,13.775
200,116.0456698,17.0205464,13.85
200,176.1261417,17.02064466,13.925
200,230.2795517,17.06250848,14
200,290.2488216,17.14625624,14.1
200,355.8628065,17.27144003,14.2
200,410.1879001,17.43286565,14.3
200,492.8257456,17.62699557,14.4
200,552.0763744,17.84750411,14.5
200,612.563541,18.08979935,14.6
200,662.470357,18.35063937,14.7
200,711.9023414,18.62734021,14.8
200,763.9875795,18.91860899,14.9
200,843.6284559,19.10014333,15
200,954.0224262,19.54199852,15.1
200,1062.469043,19.95876591,15.2
200,1193.632943,20.39446342,15.3
200,1343.963971,20.87850236,15.4
200,1498.499913,21.41071098,15.5
200,1659.788697,21.98795954,15.6
200,1822.129511,22.40874552,15.775
200,1980.240677,23.23620944,15.95
200,2118.698133,23.96729656,16.125
200,2243.513922,24.69353449,16.3
200,2351.669132,25.44172877,16.5
200,2440.88711,26.19923348,16.7
200,2498.536525,26.95438241,16.9
200,2534.419935,27.6970232,17.1
200,2548.193055,28.41692716,17.275
200,2539.757057,29.10770356,17.45
200,2501.305302,29.76462491,17.625
200,2441.181059,30.38228278,17.8
200,2360.19775,30.71500976,17.75
200,2259.739753,31.41006821,17.7
200,2131.141312,31.86050969,17.65
200,1989.046316,32.20179479,17.6
200,1837.245582,32.48078979,17.55
200,1680.258017,32.70009525,17.5
200,1513.629892,32.83932277,17.45
200,1353.951987,32.90000276,17.4
200,1206.922826,32.89497285,17.35
200,1077.745479,32.83594878,17.3
200,961.6230364,32.72979733,17.25
200,844.3442041,32.57873558,17.2
200,769.1396664,32.38705182,17.025
200,720.5562128,32.17177498,16.85
200,667.0095431,31.94089105,16.675
200,613.4548052,31.69310486,16.5
200,560.0672179,31.42441571,16.3
200,507.0025541,31.13442701,16.1
200,417.3969062,30.91994714,15.9
200,357.9547182,30.48362799,15.7
200,302.0515425,30.10469475,15.525
200,249.4016388,29.71571169,15.35
200,191.4821995,29.29949516,15.175
200,138.8461194,28.86203871,15
200,81.48396447,28.40361106,14.85
200,0,27.91542488,14.7
200,0,27.41172908,14.55
200,0,26.91594313,14.4
200,0,26.43703423,14.275
200,0,25.97509988,14.15
200,0,25.52819931,14.025
200,0,25.09525232,13.9
200,0,24.67352572,13.75
200,0,24.26194496,13.6
200,0,23.86092381,13.45
200,0,23.4699653,13.3
200,0,23.09549158,13.25
200,0,22.73786173,13.2
200,0,22.39191206,13.15
200,0,22.05632182,13.1
200,0,21.73254774,13.075
200,0,21.42046372,13.05
200,0,21.11847685,13.025
200,0,20.82549535,13
200,0,20.53581823,12.95
200,0,20.25454856,12.9
200,0,19.98279415,12.85
200,0,19.71844231,12.8
200,0,19.4533006,12.65
200,0,19.18655537,12.5
200,0,18.92161983,12.35
200,0,18.66143549,12.2
200,0,18.40855389,12.075
200,0,18.16297415,11.95
200,0,17.92363123,11.825
200,0,17.68968233,11.7
200,0,17.45902013,11.55
200,0,17.23122677,11.4
200,0,17.0065505,11.25
200,0,16.78549211,11.1
200,0,16.59352316,11.325
200,0,16.43374611,11.55
200,0,16.29628041,11.775
200,0,16.16819376,12
200,79.3728423,16.06691466,12.25
200,115.264548,16.0095559,12.5
200,176.2729378,16.00536515,12.75
200,231.1438743,16.06750094,13
200,291.7128419,16.20031002,13.225
200,357.9675532,16.40391298,13.45
200,411.9649069,16.67015281,13.675
200,494.8465691,16.87022609,13.9
200,554.1141769,17.3445292,14.275
200,614.7080643,17.81341046,14.65
200,664.5580122,18.29966789,15.025
200,713.9681189,18.80274715,15.4
200,768.0423849,19.31290297,15.75
200,849.673162,19.83721193,16.1
200,943.2903538,20.3910752,16.45
200,1075.27381,20.98127733,16.8
200,1210.670469,21.36312445,17.175
200,1365.280708,22.1785019,17.55
200,1523.006739,22.92489929,17.925
200,1687.385273,23.68851328,18.3
200,1852.697372,24.50005387,18.8
200,2013.653034,25.35488301,19.3
200,2153.875401,26.24500935,19.8
200,2280.173121,26.8851008,20.3
200,2389.548781,28.03287982,20.825
200,2479.745366,29.01424461,21.35
200,2539.128224,29.96076912,21.875
200,2576.561428,30.90724454,22.4
200,2591.664537,31.83921378,22.9
200,2584.298651,32.43429961,23.4
200,2546.026863,33.22517113,23.9
200,2485.774041,34.35401797,24.4
200,2404.326755,34.81374235,24.125
200,2303.037037,35.70110881,23.85
200,2173.552451,36.28824546,23.575
200,2030.077948,36.5253022,23.3
200,1876.375271,37.07009374,23.025
200,1716.954543,37.35963923,22.75
200,1546.481383,37.51726224,22.475
200,1382.781413,37.59610612,22.2
200,1231.642175,37.59649528,21.925
200,1098.39601,37.52076523,21.65
200,960.1391006,37.37459554,21.375
200,860.2881221,37.17198849,21.1
200,783.5499429,36.92799763,20.775
200,733.7461009,36.65992093,20.45
200,676.8946899,36.37266169,20.125
200,621.2691372,36.16489945,19.8
200,537.2405621,35.73923386,19.475
200,485.717706,35.3657518,19.15
200,425.0672983,34.97855542,18.825
200,367.5994382,34.5622971,18.5
200,313.6716318,34.12314237,18.175
200,262.8618039,33.66243043,17.85
200,183.7119204,33.17334275,17.525
200,127.8755928,32.65557298,17.2
200,76.51639836,32.12406291,17.025
200,0,31.57285201,16.85
200,0,31.00988568,16.675
200,0,30.45680945,16.5
200,0,29.91905529,16.3
200,0,29.3963715,16.1
200,0,28.88875978,15.9
200,0,28.39533262,15.7
200,0,27.91610332,15.525
200,0,27.45019154,15.35
200,0,26.99609315,15.175
200,0,26.5530775,15
200,0,26.12549848,14.9
200,0,25.7138221,14.8
200,0,25.31525641,14.7
200,0,24.92950436,14.6
200,0,24.55850704,14.525
200,0,24.20211267,14.45
200,0,23.85861466,14.375
200,0,23.5273901,14.3
200,0,23.20692569,14.2
200,0,22.89662884,14.1
200,0,22.59677858,14
200,0,22.30668534,13.9
200,0,22.02760484,13.9
200,0,21.76577291,13.9
200,0,21.5193594,13.9
200,0,21.28400885,13.9
200,0,21.0572581,13.9
200,0,20.83858443,13.9
200,0,20.62806423,13.9
200,0,20.42560044,13.9
200,0,20.23083632,13.9
200,0,20.04339288,13.9
200,0,19.86296307,13.9
200,0,19.68929041,13.9
200,0,19.52369078,13.95
200,0,19.36577581,14
200,0,19.21440475,14.05
200,0,19.06880295,14.1
200,64.28824693,18.93945514,14.125
200,95.8145497,18.83300766,14.15
200,162.1494657,18.75924536,14.175
200,231.3742259,18.72760544,14.2
200,303.3644273,18.74454505,14.25
200,391.9220984,18.81396124,14.3
200,460.7067803,18.93275721,14.35
200,530.0877482,19.09336135,14.4
200,599.4372273,19.30577708,14.725
200,668.6250842,19.56655448,15.05
200,697.1781135,19.85786723,15.375
200,726.240643,20.03728843,15.7
200,786.4279004,20.45230881,16.025
200,851.6130169,20.82782758,16.35
200,927.7284538,21.21909166,16.675
200,1030.375604,21.65666621,17
200,1182.680559,22.15266247,17.325
200,1344.142209,22.71440947,17.65
200,1486.186,23.11516685,17.975
200,1641.11583,23.9285804,18.3
200,1798.775199,24.65853669,18.575
200,1954.281996,25.39747039,18.85
200,2084.403937,26.16963287,19.125
200,2197.455989,26.9619773,19.4
200,2291.310808,27.76411211,19.7
200,2364.708728,28.56617598,20
200,2413.798241,29.3618178,20.3
200,2443.838786,30.14169038,20.6
200,2453.796679,30.89571214,20.875
200,2442.732732,31.61846359,21.15
200,2401.183351,32.30478773,21.425
200,2339.477745,32.95013865,21.7
200,2258.43969,33.28362687,21.55
200,2159.399622,33.99210595,21.4
200,2072.41795,34.45430065,21.25
200,1969.329797,34.81530962,21.1
200,1853.028227,35.13016793,20.975
200,1727.280832,35.38312651,20.85
200,1559.12964,35.56209658,20.725
200,1397.257491,35.65504538,20.6
200,1245.44719,35.66891366,20.45
200,1106.346287,35.6167306,20.3
200,976.3124709,35.50651751,20.15
200,871.5700697,35.34674212,20
200,789.7456596,35.14112573,19.725
200,734.2630092,34.90458692,19.45
200,680.4316184,34.64573633,19.175
200,626.3374959,34.36502328,18.9
200,542.2395771,34.15411126,18.625
200,489.5578378,33.72909514,18.35
200,425.1515431,33.35737206,18.075
200,363.9276968,32.96883853,17.8
200,306.2516821,32.54934722,17.525
200,251.7691053,32.10774953,17.25
200,193.0986446,31.64452696,16.975
200,126.0745042,31.15633872,16.7
200,79.13335838,30.65192866,16.5
200,0,30.1280626,16.3
200,0,29.59502849,16.1
200,0,29.07265433,15.9
200,0,28.56705224,15.725
200,0,28.07717566,15.55
200,0,27.60108632,15.375
200,0,27.13782283,15.2
200,0,26.68491286,15
200,0,26.24139422,14.8
200,0,25.80759046,14.6
200,0,25.38297398,14.4
200,0,24.97321436,14.3
200,0,24.57884379,14.2
200,0,24.19596178,14.1
200,0,23.82420286,14
